release,nbDependents
com.fasterxml.jackson.core:jackson-databind:2.12.6,6376
com.fasterxml.jackson.core:jackson-databind:2.13.1,22869
com.fasterxml.jackson.core:jackson-databind:2.13.2,3758
com.fasterxml.jackson.core:jackson-databind:2.13.2.1,12487
com.fasterxml.jackson.core:jackson-databind:2.12.6.1,6907
com.fasterxml.jackson.core:jackson-databind:2.13.2.2,15320
com.fasterxml.jackson.core:jackson-databind:2.13.3,29879
com.fasterxml.jackson.core:jackson-databind:2.12.7,906
com.fasterxml.jackson.core:jackson-databind:2.13.4,14659
com.fasterxml.jackson.core:jackson-databind:2.13.4.1,1117
com.fasterxml.jackson.core:jackson-databind:2.12.7.1,1821
com.fasterxml.jackson.core:jackson-databind:2.13.4.2,11670
com.fasterxml.jackson.core:jackson-databind:2.14.0,4928
com.fasterxml.jackson.core:jackson-databind:2.14.1,18763
com.fasterxml.jackson.core:jackson-databind:2.13.5,2920
com.fasterxml.jackson.core:jackson-databind:2.14.2,28274
com.fasterxml.jackson.core:jackson-databind:2.15.0,4383
com.fasterxml.jackson.core:jackson-databind:2.14.3,1669
com.fasterxml.jackson.core:jackson-databind:2.15.1,5139
com.fasterxml.jackson.core:jackson-databind:2.15.2,19365
