release,nbCveAggregated
com.fasterxml.jackson.core:jackson-databind:2.12.6,3
com.fasterxml.jackson.core:jackson-databind:2.13.1,3
com.fasterxml.jackson.core:jackson-databind:2.13.2,3
com.fasterxml.jackson.core:jackson-databind:2.13.2.1,2
com.fasterxml.jackson.core:jackson-databind:2.12.6.1,2
com.fasterxml.jackson.core:jackson-databind:2.13.2.2,2
com.fasterxml.jackson.core:jackson-databind:2.13.3,2
com.fasterxml.jackson.core:jackson-databind:2.12.7,2
com.fasterxml.jackson.core:jackson-databind:2.13.4,1
com.fasterxml.jackson.core:jackson-databind:2.13.4.1,1
com.fasterxml.jackson.core:jackson-databind:2.12.7.1,0
com.fasterxml.jackson.core:jackson-databind:2.13.4.2,0
com.fasterxml.jackson.core:jackson-databind:2.14.0,0
com.fasterxml.jackson.core:jackson-databind:2.14.1,0
com.fasterxml.jackson.core:jackson-databind:2.13.5,0
com.fasterxml.jackson.core:jackson-databind:2.14.2,0
com.fasterxml.jackson.core:jackson-databind:2.15.0,0
com.fasterxml.jackson.core:jackson-databind:2.14.3,0
com.fasterxml.jackson.core:jackson-databind:2.15.1,0
com.fasterxml.jackson.core:jackson-databind:2.15.2,0
