release,nbDependents
com.google.code.gson:gson:2.4,1696
com.google.code.gson:gson:2.5,8658
com.google.code.gson:gson:2.6,24
com.google.code.gson:gson:2.6.1,526
com.google.code.gson:gson:2.6.2,8021
com.google.code.gson:gson:2.7,11093
com.google.code.gson:gson:2.8.0,8792
com.google.code.gson:gson:2.8.1,6242
com.google.code.gson:gson:2.8.2,20564
com.google.code.gson:gson:2.8.3,127
com.google.code.gson:gson:2.8.4,1555
com.google.code.gson:gson:2.8.5,57774
com.google.code.gson:gson:2.8.6,39645
com.google.code.gson:gson:2.8.7,4203
com.google.code.gson:gson:2.8.8,4232
com.google.code.gson:gson:2.8.9,26646
com.google.code.gson:gson:2.9.0,31570
com.google.code.gson:gson:2.9.1,10905
com.google.code.gson:gson:2.10,5412
com.google.code.gson:gson:2.10.1,27092
