release,nbCveAggregated
com.google.code.gson:gson:2.4,1
com.google.code.gson:gson:2.5,1
com.google.code.gson:gson:2.6,1
com.google.code.gson:gson:2.6.1,1
com.google.code.gson:gson:2.6.2,1
com.google.code.gson:gson:2.7,1
com.google.code.gson:gson:2.8.0,1
com.google.code.gson:gson:2.8.1,1
com.google.code.gson:gson:2.8.2,1
com.google.code.gson:gson:2.8.3,1
com.google.code.gson:gson:2.8.4,1
com.google.code.gson:gson:2.8.5,1
com.google.code.gson:gson:2.8.6,1
com.google.code.gson:gson:2.8.7,1
com.google.code.gson:gson:2.8.8,1
com.google.code.gson:gson:2.8.9,0
com.google.code.gson:gson:2.9.0,0
com.google.code.gson:gson:2.9.1,0
com.google.code.gson:gson:2.10,0
com.google.code.gson:gson:2.10.1,0
